Gen	K_5
AMES28954	Mixed
AMES28957	Mixed
AMES28970	Pop4
AMES28971	Pop4
AMES28972	Pop4
AMES28973	Pop4
AMES28974	Pop4
AMES28975	Pop4
AMES28976	Pop4
AMES28977	Pop4
AMES28978	Pop4
AMES28979	Pop4
AMES28980	Pop4
AMES28981	Pop4
AMES28982	Pop4
AMES28983	Pop4
AMES28984	Pop4
AMES28985	Pop4
AMES28986	Pop4
AMES28987	Pop4
AMES28988	Pop4
AMES28989	Pop4
AMES28990	Pop4
AMES28991	Pop4
AMES28992	Pop4
AMES28993	Pop4
AMES28994	Pop4
AMES28995	Pop4
AMES28996	Pop4
AMES28997	Pop4
AMES28998	Pop4
AMES28999	Pop4
AMES29000	Pop4
AMES29001	Pop4
AMES29002	Pop4
AMES29003	Pop4
AMES29004	Pop4
AMES29005	Pop4
AMES29006	Pop4
AMES29007	Pop4
AMES29008	Pop4
AMES29009	Pop4
AMES29010	Pop4
AMES29011	Pop4
AMES29012	Pop4
AMES29013	Pop4
AMES29014	Pop4
AMES29015	Pop4
AMES29016	Pop4
AMES29017	Pop4
AMES29018	Pop4
AMES29019	Pop4
AMES29020	Pop4
AMES29021	Pop4
AMES29022	Pop4
AMES29023	Pop4
AMES29024	Pop4
AMES29025	Pop4
AMES29026	Pop4
AMES29027	Pop4
AMES29028	Pop4
AMES29030	Pop4
AMES29045	Pop3
AMES29393	Pop3
AMES29394	Pop3
AMES29447	Pop5
AMES29448	Pop3
AMES29451	Mixed
AMES30480	Pop5
AMES30522	Pop3
AMES30523	Mixed
AMES30524	Pop3
AMES30526	Pop3
AMES30527	Pop3
AMES30529	Pop3
AMES30531	Pop1
AMES30533	Mixed
AMES30534	Mixed
AMES30535	Pop3
AMES30536	Pop3
AMES30537	Mixed
AMES30790	Pop2
AMES30791	Pop2
AMES30792	Pop5
AMES30793	Pop5
AMES30794	Pop5
AMES30795	Pop2
AMES30796	Pop2
AMES30797	Pop2
AMES30798	Pop2
AMES30799	Pop2
AMES30855	Mixed
AMES30856	Pop3
AMES30857	Pop3
AMES30858	Pop3
AMES30859	Pop3
AMES30860	Pop3
AMES30861	Pop3
AMES30862	Mixed
AMES30863	Mixed
AMES30864	Pop5
AMES30865	Mixed
AMES30866	Mixed
AMES30867	Mixed
AMES30868	Mixed
AMES30869	Mixed
AMES30870	Mixed
AMES8397	Pop2
B10	Mixed
B103	Pop5
B104	Mixed
B105	Mixed
B109	Pop2
B115	Mixed
B14A	Pop2
B164	Mixed
B2-GOOD	Pop5
B37	Mixed
B46	Pop5
B52	Pop5
B57	Mixed
B64	Pop2
B68	Pop2
B73	Pop2
B73HTRHM	Pop2
B75	Pop5
B76	Mixed
B77	Mixed
B79	Mixed
B84	Pop2
B97	Pop5
BAI_IIIB-6	Mixed
BAI_IIID-2	Mixed
C103	Pop5
C123	Pop5
C49A	Mixed
CH701-30	Pop5
CH9	Pop5
CI.7	Mixed
CI187-2	Mixed
CI21E	Pop5
CI28A	Mixed
CI31A	Mixed
CI3A	Mixed
CI64	Mixed
CI66	Mixed
CI90C	Mixed
CI91B	Pop5
CIZE127	Mixed
CIZE23	Mixed
CIZE27	Mixed
CIZE29	Pop5
CIZE3	Mixed
CIZE317	Mixed
CIZE38	Pop5
CIZE40	Pop5
CIZE42	Mixed
CIZE45	Mixed
CIZE49	Mixed
CIZE7	Mixed
CIZE81	Mixed
CIZE82	Mixed
CIZE83	Mixed
CIZE85	Mixed
CIZE86	Mixed
CIZE88	Mixed
CIZE89	Mixed
CIZE90	Mixed
CM105	Pop2
CM174	Pop2
CM37	Mixed
CM7	Mixed
CML10	Pop3
CML101	Pop3
CML103	Pop3
CML107	Pop3
CML108	Pop3
CML11	Pop3
CML115	Mixed
CML116	Mixed
CML118	Pop3
CML121	Pop3
CML139	Pop3
CML14	Pop3
CML142	Pop3
CML144	Pop3
CML154Q	Pop3
CML157Q	Pop3
CML158Q	Pop3
CML172	Pop3
CML176	Pop3
CML184	Pop3
CML195	Pop3
CML196	Pop3
CML197	Pop3
CML198	Pop3
CML199	Pop3
CML200	Pop3
CML201	Pop3
CML204	Pop3
CML206	Pop3
CML210	Pop3
CML211	Pop3
CML212	Mixed
CML213	Pop3
CML214	Pop3
CML215	Pop3
CML217	Pop3
CML218	Pop3
CML219	Pop3
CML220	Pop3
CML223	Pop3
CML224	Pop3
CML225	Pop3
CML226	Pop3
CML227	Pop3
CML228	Pop3
CML229	Pop3
CML230	Pop3
CML231	Pop3
CML233	Pop3
CML234	Pop3
CML235	Pop3
CML236	Pop3
CML238	Pop3
CML242	Mixed
CML246	Mixed
CML247	Pop3
CML254	Pop3
CML255	Pop3
CML258	Pop3
CML261	Pop3
CML264	Pop3
CML269	Pop3
CML270	Pop3
CML277	Pop3
CML281	Pop3
CML287	Pop3
CML288	Pop3
CML289	Pop3
CML295	Pop3
CML304	Pop3
CML308	Pop3
CML309	Pop3
CML310	Pop3
CML311	Pop3
CML312	Pop3
CML313	Pop3
CML314	Pop3
CML315	Pop3
CML316	Pop3
CML317	Pop3
CML318	Pop3
CML319	Pop3
CML320	Pop3
CML321	Pop3
CML322	Pop3
CML323	Pop3
CML324	Pop3
CML326	Mixed
CML327	Mixed
CML328	Pop3
CML329	Pop3
CML330	Pop3
CML331	Pop3
CML332	Pop3
CML333	Pop3
CML334	Pop3
CML335	Pop3
CML338	Pop3
CML339	Pop3
CML340	Pop3
CML341	Pop3
CML342	Pop3
CML343	Pop3
CML344	Pop3
CML345	Pop3
CML346	Pop3
CML347	Pop3
CML348	Pop3
CML357	Pop3
CML358	Pop3
CML359	Pop3
CML360	Pop3
CML361	Pop3
CML362	Pop3
CML363	Pop3
CML365	Pop3
CML366	Pop3
CML367	Pop3
CML368	Pop3
CML370	Pop3
CML373	Pop3
CML374	Pop3
CML377	Pop3
CML378	Pop3
CML379	Pop3
CML38	Pop3
CML380	Pop3
CML381	Pop3
CML383	Pop3
CML384	Pop3
CML386	Pop3
CML387	Pop3
CML388	Pop3
CML389	Pop3
CML390	Pop3
CML391	Pop3
CML392	Pop3
CML394	Pop3
CML416	Pop3
CML418	Pop3
CML419	Pop3
CML420	Pop3
CML421	Pop3
CML422	Pop3
CML423	Pop3
CML424	Pop3
CML425	Pop3
CML426	Pop3
CML427	Pop3
CML429	Pop3
CML430	Pop3
CML431	Pop3
CML433	Pop3
CML434	Pop3
CML436	Pop3
CML438	Pop3
CML440	Pop3
CML441	Pop3
CML448	Pop3
CML449	Pop3
CML45	Pop3
CML450	Pop3
CML451	Pop3
CML454	Pop3
CML456	Mixed
CML474	Pop3
CML476	Pop3
CML480	Pop3
CML481	Pop3
CML482	Pop3
CML483	Pop3
CML484	Pop3
CML485	Pop3
CML486	Mixed
CML487	Pop3
CML490	Pop3
CML491	Pop3
CML492	Pop3
CML493	Pop3
CML494	Pop3
CML495	Pop3
CML496	Pop3
CML498	Pop3
CML5	Pop3
CML50	Pop3
CML500	Pop3
CML503	Pop3
CML52	Pop3
CML61	Pop3
CML69	Pop3
CML77	Pop3
CML78	Pop3
CML79	Pop3
CML91	Pop3
CML92	Pop3
CML98	Pop3
CMV3	Mixed
CO106	Mixed
CO125	Mixed
CO255	Mixed
CUB57C-2	Mixed
D940Y	Mixed
DE_2	Pop5
DE_3	Pop5
DE1	Pop5
DE811	Mixed
E2558W	Mixed
EA1070	Mixed
EA2000	Mixed
EA2024	Mixed
EA2841	Mixed
EA3076	Mixed
ECU_770B-2	Mixed
EP1	Mixed
EP10	Mixed
EP16	Mixed
EP2	Mixed
EP2008-03	Mixed
EP2008-04	Pop3
EP2008-05	Mixed
EP28	Mixed
EP29	Pop5
EP3	Mixed
EP31	Mixed
EP32	Mixed
EP37	Mixed
EP39	Mixed
EP4	Mixed
EP40	Mixed
EP42	Mixed
EP43	Mixed
EP44	Pop3
EP45	Mixed
EP47	Mixed
EP51	Mixed
EP52	Pop5
EP53	Mixed
EP55	Mixed
EP56	Mixed
EP57	Mixed
EP58	Pop1
EP60	Pop1
EP61	Pop1
EP62	Pop1
EP64	Mixed
EP65	Mixed
EP67	Mixed
EP69	Mixed
EP71	Mixed
EP72	Mixed
EP73	Mixed
EP74	Mixed
EP75	Mixed
EP76	Mixed
EP77	Mixed
EP79	Mixed
EP80	Mixed
EP81	Mixed
EP82	Pop1
EP83	Pop1
EP84	Pop1
EP85	Pop1
EP86	Mixed
EZ1	Mixed
EZ10	Pop3
EZ11A	Mixed
EZ12	Pop5
EZ13	Pop3
EZ14	Mixed
EZ16A	Mixed
EZ17	Mixed
EZ18	Pop5
EZ19	Pop5
EZ2	Mixed
EZ21	Mixed
EZ23	Pop5
EZ24	Mixed
EZ25	Mixed
EZ29	Mixed
EZ3	Mixed
EZ30	Pop3
EZ31	Pop2
EZ32	Mixed
EZ33	Pop5
EZ34	Pop5
EZ37	Mixed
EZ38	Mixed
EZ4	Mixed
EZ46	Mixed
EZ48	Mixed
EZ49	Mixed
EZ5	Mixed
EZ50	Mixed
EZ51	Mixed
EZ52	Mixed
EZ53	Mixed
EZ59	Pop3
EZ6	Mixed
EZ7	Mixed
EZ8	Pop3
EZ9	Mixed
F2834T	Mixed
F44	Mixed
F6	Mixed
F7	Mixed
FE	Mixed
GA209	Mixed
GA220	Pop5
GA224	Pop5
GE180	Pop3
GEMN-0070	Mixed
GEMN-0071	Pop5
GEMN-0076	Mixed
GEMN-0077	Pop5
GEMN-0081	Pop5
GEMN-0082	Pop5
GEMN-0083	Mixed
GEMN-0087	Mixed
GEMN-0089	Mixed
GEMN-0090	Mixed
GEMN-0094	Mixed
GEMN-0095	Pop5
GEMN-0096	Pop5
GEMN-0099	Pop5
GEMN-0103	Mixed
GEMN-0104	Mixed
GEMN-0105	Mixed
GEMN-0106	Mixed
GEMN-0107	Mixed
GEMN-0108	Mixed
GEMN-0109	Mixed
GEMN-0119	Mixed
GEMN-0120	Mixed
GEMN-0121	Mixed
GEMN-0122	Mixed
GEMN-0123	Mixed
GEMN-0124	Mixed
GEMN-0127	Mixed
GEMN-0128	Mixed
GEMN-0129	Mixed
GEMN-0130	Mixed
GEMN-0131	Mixed
GEMN-0132	Mixed
GEMN-0133	Mixed
GEMN-0134	Mixed
GEMN-0135	Mixed
GEMN-0136	Mixed
GEMN-0151	Mixed
GEMN-0152	Mixed
GEMN-0153	Mixed
GEMN-0164	Mixed
GEMN-0165	Mixed
GEMN-0166	Mixed
GEMN-0167	Mixed
GEMN-0168	Mixed
GEMN-0169	Mixed
GEMN-0170	Mixed
GEMN-0172	Mixed
GEMN-0173	Mixed
GEMN-0186	Pop5
GEMN-0187	Pop5
GEMN-0190	Pop5
GEMN-0191	Pop5
GEMN-0192	Pop5
GEMN-0193	Pop5
GEMN-0205	Pop5
GEMN-0207	Mixed
GEMN-0208	Mixed
GEMN-0209	Mixed
GEMN-0210	Mixed
GEMN-0211	Mixed
GEMN-0212	Mixed
GEMN-0213	Mixed
GEMN-0214	Pop5
GEMN-0216	Mixed
GEMN-0217	Mixed
GEMN-0221	Pop5
GEMS-0068	Pop2
GEMS-0069	Mixed
GEMS-0072	Pop2
GEMS-0073	Mixed
GEMS-0074	Pop2
GEMS-0075	Pop2
GEMS-0078	Mixed
GEMS-0079	Pop2
GEMS-0080	Mixed
GEMS-0084	Pop5
GEMS-0085	Mixed
GEMS-0086	Pop2
GEMS-0101	Pop2
GEMS-0102	Mixed
GEMS-0125	Mixed
GEMS-0185	Pop2
GEMS-0188	Mixed
GEMS-0189	Pop2
GEMS-0199	Pop2
GEMS-0200	Pop2
GEMS-0201	Mixed
GEMS-0202	Pop2
GEMS-0203	Mixed
GEMS-0206	Pop2
GEMS-0215	Mixed
GEMS-0219	Mixed
GEMS-0220	Pop2
GEMS-0222	Mixed
GEMS-0223	Pop2
GT112	Mixed
GT154	Mixed
GT169A	Mixed
GT601	Mixed
GT602	Mixed
H105W	Mixed
H49	Pop5
H84	Mixed
H91	Pop2
H95	Pop5
H99	Pop5
HI27	Pop3
HP301	Pop4
HY	Pop5
I137TN	Mixed
I205	Pop5
I29	Mixed
IA2132	Pop1
IA5125	Pop1
IDS28	Mixed
IDS69	Pop4
IDS91	Pop4
IL101	Pop1
IL14H	Pop1
IL677A	Pop1
K148	Mixed
K4	Mixed
K55	Mixed
K64	Mixed
KI11	Pop3
KI14	Pop3
KI2021	Pop3
KI21	Mixed
KI3	Pop3
KI43	Pop3
KI44	Pop3
KY21	Mixed
KY226	Mixed
KY228	Mixed
L317	Mixed
L578	Mixed
M14	Pop5
M162W	Mixed
M37W	Mixed
MEF156-55-2	Mixed
MO17	Pop5
MO18W	Pop3
MO1W	Pop5
MO24W	Mixed
MO44	Pop5
MO45	Mixed
MO46	Mixed
MO47	Mixed
MOG	Mixed
MP04-97	Mixed
MP07-121	Mixed
MP07-153	Mixed
MP07-158	Mixed
MP339	Mixed
MP462	Mixed
MP717	Pop3
MR06_(CHAPALOTE)_S6	Mixed
MR13_(HICKORY_KING)	Mixed
MR15_(PALOMERO_DE_JALISCO)_S6	Mixed
MR26_(POLLO)_S5	Pop3
MS1334	Mixed
MS153	Mixed
MS71	Pop5
MT42	Mixed
N192	Pop2
N28HT	Mixed
N6	Mixed
N7A	Mixed
NC222	Mixed
NC230	Mixed
NC232	Mixed
NC236	Mixed
NC238	Mixed
NC250	Mixed
NC258	Pop5
NC260	Pop5
NC262	Pop5
NC264	Mixed
NC290A	Pop5
NC294	Pop2
NC296	Pop3
NC296A	Pop3
NC298	Pop3
NC300	Pop3
NC302	Pop3
NC304	Pop3
NC306	Pop2
NC310	Pop2
NC314	Pop2
NC318	Mixed
NC320	Mixed
NC324	Pop2
NC326	Pop2
NC328	Pop2
NC33	Mixed
NC336	Pop3
NC338	Pop3
NC340	Pop3
NC342	Pop5
NC344	Pop5
NC346	Pop3
NC348	Pop3
NC350	Pop3
NC352	Pop3
NC354	Pop3
NC356	Pop3
NC358	Pop3
NC360	Mixed
NC362	Mixed
NC364	Mixed
NC366	Mixed
NC368	Pop2
ND246	Mixed
NSL117226	Mixed
