Gen	20KernelWeight	CobDiameter	CobWeight	DaystoSilk	DaysToTassel	EarDiameter	EarHeight	EarLength	EarRankNumber	EarRowNumber	EarWeight	GDDAnthesis-SilkingInterval	GDDDaystoSilk	GDDDaystoTassel	GerminationCount	LeafLength	LeafWidth	MainSpikeLength	MiddleLeafAngle	NIROil	NIRProtein	NIRStarch	PlantHeight	SecondaryBranchNumber	SeedSetLength	SouthernLeafBlight	Spikelets-MainSpike	Spikelets-PrimaryBranch	StandCount	TasselBranchLength	TasselLength	TasselPrimaryBranches	TilleringIndex	TotalKernelVolume	UpperLeafAngle	TotalKernelWeight
506	4.663760038	25.74281266	15.77705937	93.45897807	94.01636396	36.32484528	73.24022001	125.5350841	20.51617593	13.29338753	62.33705469	22.07897928	1072.693764	1089.480617	5.604939312	846.9818083	91.45178231	234.1681688	65.76242524	4.413531561	14.27218013	65.68694892	149.1127217	3.292877371	108.1442647	7.719426701	20.84361676	13.72058688	7.52492784	240.2195581	359.7367875	15.02938514	0.587276159	60.23829537	62.52181229	47.00674547
507	4.338868739	24.36178819	13.73740453	77.77496446	76.46539758	36.7028233	53.53844048	133.4274287	20.85339176	12.8806145	61.00152439	24.63597325	913.7985514	895.8384181	6.633518468	636.7070655	85.69534263	236.046945	59.22755652	4.2601386	13.61321252	67.52971395	116.9629025	0.563108894	113.9093913	6.062499554	24.61370213	16.07790555	7.478993863	166.3131749	310.7485779	8.319035209	0.562173903	58.99547839	56.85834497	47.76948683
508	4.573653881	25.67544176	16.45981956	76.85102676	74.58327513	37.04420687	62.0972545	135.2226914	20.87359641	14.04364382	68.33374565	27.22262683	906.2220403	865.176999	7.12780356	761.8908988	77.83762916	225.6921499	61.16150952	3.866055567	14.19833059	67.10867564	133.962751	1.706835324	111.8888947	6.458721768	23.88691737	15.98565152	7.769296841	193.6217793	306.771887	8.388364293	0.556564866	61.68690583	42.63736253	51.85308282
509	4.26861992	30.37439413	18.37681671	85.27615397	84.75122198	39.13676316	65.61950343	128.5048859	20.14352007	15.67489348	65.2933245	16.10232829	1001.568512	1003.611272	6.368973259	830.5174361	94.35005187	284.0036042	60.16907903	4.762640716	13.28228456	66.13681261	144.4340159	2.028877339	109.805059	6.907866315	23.34203044	15.77127706	7.659955981	228.648958	360.9366817	7.410715754	0.570473888	60.94450523	64.12101282	46.66625676
510	3.439966843	23.12417524	13.02602684	76.29344846	74.5627752	32.45617013	68.81929207	125.8703679	21.66222003	14.07495334	51.21521881	25.66279925	890.8256547	871.7123126	6.365788776	731.249362	78.87527713	210.7458126	58.38677331	4.235032819	14.19852395	66.1440549	130.8323607	2.515094883	111.4461159	6.202755641	24.96125323	16.83750269	7.546094732	194.0979454	320.5321552	16.31914612	0.585563058	55.20864273	48.12272277	39.57151327
511	4.463383414	25.54211672	17.40314359	77.80627844	76.46257093	37.54316994	66.8863252	125.1312965	21.23090577	13.65002736	68.44947209	24.09363594	918.1001038	898.6144412	6.602877254	717.3254855	94.00011722	235.0825337	62.43088856	4.107357713	14.46194098	66.60833803	141.1349414	2.191709662	108.9981392	6.142604242	23.94758256	15.84922668	7.596521653	208.2784446	335.5015023	12.09412809	0.572164605	61.4078591	53.65854232	52.13029598
512	4.602241903	25.08768189	15.23841152	70.82300067	69.66685538	36.52470892	68.24000161	130.3301185	20.45856784	13.76868969	64.00726526	25.7290409	839.6470502	814.0072778	8.031218363	723.4351439	73.68513555	211.7751194	57.55788479	4.077980021	14.416573	65.96453181	133.9848049	1.365477431	112.4359635	5.53523208	24.90155315	16.22546667	7.808952061	188.7481952	286.1141788	7.3306222	0.555713834	60.49827022	30.87547858	48.21392347
513	4.644823984	26.26591941	16.13759858	90.13195394	88.07587491	36.96655109	84.0469787	128.8092603	20.72312237	13.33821835	66.97215116	25.68562323	1050.500732	1041.550526	5.872628997	837.992115	89.42879754	230.9260586	65.88715909	4.240469855	14.14854889	66.35156592	156.8888108	3.178364606	111.8383629	7.531975894	21.23979627	14.06437543	7.611775071	216.2340736	339.691997	14.49737136	0.58072411	61.04064921	65.52205816	51.14250002
514	4.796220858	24.09927268	13.49840915	69.38703513	68.6473597	37.1850016	44.13754708	122.7186774	20.65961332	12.66697918	63.2354655	18.80509474	795.108327	788.6891625	6.968549733	638.0400989	75.82294593	229.7797213	60.66988427	4.648847944	14.4198072	66.25070559	116.971743	1.3517969	110.1133811	5.196934348	21.42138698	15.67382907	7.555814337	179.7676436	327.2906014	13.01479327	0.56938735	59.95474309	48.73511931	49.36376386
515	4.537934523	26.27352547	16.71473146	82.5564672	81.17962319	38.15275524	75.81305825	127.1406358	21.13017314	14.26091977	70.41836688	23.65271291	966.4546911	950.7994228	6.539803502	770.6928875	88.71884279	216.9824692	64.83038834	4.122823369	13.95208643	66.71928173	148.8443042	2.567057209	110.1157168	7.10908882	23.45354864	14.61905592	7.688207742	197.5601276	317.2234517	10.31334838	0.586158655	61.68075831	65.16335589	54.03884384
